Donations_Id,Donor_id,Donation_date,Volume_ml
1,57,2024-06-23,350
2,181,2024-08-11,350
3,20,2024-08-13,350
4,432,2024-08-07,500
5,134,2024-01-29,350
6,230,2023-09-21,500
7,431,2024-07-06,350
8,203,2023-10-31,350
9,448,2024-12-25,500
10,380,2023-07-01,350
11,438,2024-05-19,450
12,84,2025-01-16,350
13,28,2024-01-02,350
14,265,2024-11-02,500
15,352,2024-07-25,500
16,392,2023-10-26,350
17,27,2025-01-30,450
18,162,2023-10-17,350
19,456,2023-05-12,350
20,152,2023-06-03,350
21,402,2023-09-11,350
22,135,2024-02-02,500
23,483,2025-04-07,350
24,413,2023-12-12,350
25,411,2023-11-16,350
26,43,2024-05-04,500
27,23,2023-06-23,350
28,48,2024-03-04,350
29,275,2025-01-10,450
30,402,2024-04-07,350
31,246,2025-02-12,450
32,49,2025-03-19,450
33,54,2023-12-28,350
34,418,2023-06-17,350
35,431,2024-05-18,350
36,79,2023-10-28,350
37,152,2023-11-23,350
38,91,2023-05-20,500
39,248,2023-08-12,450
40,260,2023-07-01,350
41,332,2023-07-22,350
42,291,2024-05-16,500
43,105,2024-10-19,450
44,213,2024-02-21,500
45,381,2024-10-28,350
46,2,2023-11-28,450
47,47,2024-05-31,350
48,374,2023-11-20,450
49,339,2023-11-06,450
50,386,2024-07-05,500
51,297,2023-09-08,500
52,456,2025-05-03,350
53,114,2025-03-14,500
54,100,2023-09-10,500
55,346,2024-05-21,350
56,288,2023-07-14,500
57,282,2025-01-25,500
58,100,2024-03-28,450
59,148,2023-12-08,450
60,147,2023-12-19,450
61,214,2024-02-14,500
62,174,2023-06-15,450
63,304,2024-10-02,350
64,130,2023-08-23,500
65,221,2025-03-20,450
66,140,2024-03-23,450
67,5,2024-12-30,450
68,119,2024-03-09,500
69,120,2023-06-10,450
70,262,2024-08-21,450
71,456,2024-03-20,450
72,490,2024-08-19,500
73,183,2024-12-19,350
74,450,2024-12-11,500
75,195,2023-10-26,450
76,319,2023-11-21,500
77,80,2024-02-02,350
78,412,2024-11-12,500
79,228,2024-07-09,350
80,309,2025-03-07,450
81,308,2024-03-19,500
82,407,2023-10-21,500
83,225,2023-11-19,500
84,322,2023-12-27,350
85,482,2023-10-08,350
86,139,2025-02-26,500
87,284,2024-12-12,450
88,474,2024-08-22,450
89,122,2025-04-15,500
90,109,2024-12-11,450
91,127,2023-09-25,450
92,499,2024-06-15,450
93,491,2023-10-01,500
94,96,2023-08-21,350
95,38,2024-03-14,450
96,163,2024-07-19,350
97,1,2024-02-28,450
98,116,2025-03-07,450
99,162,2024-10-17,350
100,151,2024-11-08,500
101,254,2023-09-10,450
102,91,2025-01-07,450
103,412,2024-11-02,500
104,94,2025-01-12,450
105,207,2025-02-09,350
106,350,2025-02-08,450
107,40,2024-12-08,450
108,267,2024-08-12,500
